county_fips_full,hurricane_count_5yr,severe_storm_count_5yr,flood_count_5yr,fire_count_5yr,coastal_storm_count_5yr,tropical_storm_count_5yr,tornado_count_5yr,climate_event_count_5yr
01001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
01003,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
01005,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
01007,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
01009,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0
01011,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
01013,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
01015,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
01017,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
01019,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
01021,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
01023,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
01025,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
01027,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
01029,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01031,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
01033,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
01035,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
01037,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
01039,3.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0
01041,3.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0
01043,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0
01045,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
01047,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
01049,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
01051,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
01053,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
01055,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
01057,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
01059,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
01061,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
01063,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
01065,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
01067,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
01069,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
01071,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
01073,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
01075,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
01077,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01079,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01081,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
01083,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
01085,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
01087,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
01089,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
01091,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
01093,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
01095,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
01097,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
01099,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
01101,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
01103,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
01105,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
01107,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01109,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
01111,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
01113,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
01115,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
01117,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
01119,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01121,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
01123,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
01125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
01127,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
01129,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
01131,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
01133,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
05001,1.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0
05003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
05005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
