state_fips,pm25_state_mean
01,8.031645606271777
02,9.095974213872832
04,7.593230194719472
05,8.50340554679803
06,8.805778755785628
08,6.044715958490566
09,6.349004077625571
10,6.615159666666666
11,7.632301094827586
12,7.029707592105264
13,8.657218559322033
15,3.4293440324074074
16,8.894536523809524
17,8.634098205930808
18,8.760139528735632
19,7.511652555555556
20,8.599241375886525
21,7.893187473815462
22,8.396882651376147
23,4.258953951724138
24,6.43654850955414
25,6.364335817955113
26,8.671873261702128
27,5.656625272340426
28,8.547099702380953
29,8.131870291828793
30,7.429622740566038
31,5.501756263636364
32,6.265884597014925
33,4.819688937931035
34,7.20425451953125
35,6.808042317307692
36,6.239401477707006
37,7.052869577656676
38,5.843629714285714
39,8.173584647607933
40,8.293725635782748
41,10.314591040160643
42,7.989945651675485
44,5.623140153846154
45,7.503699591973244
46,4.928401134020619
47,7.717338745398773
48,8.77674231420765
49,7.120691304477612
50,5.34022711
51,6.887551687861272
53,8.317541022624434
54,7.756532543624162
55,6.733966322195704
56,3.816861603351955
