NAME,B25077_001E,B19013_001E,B01003_001E,state,county
"Santa Barbara County, California",714800,92332,445213,06,083
"Santa Clara County, California",1316800,153792,1916831,06,085
"Santa Cruz County, California",951300,104409,268571,06,087
"Shasta County, California",327500,68347,181852,06,089
"Sierra County, California",289400,61108,2916,06,091
"Siskiyou County, California",260200,53898,44049,06,093
"Solano County, California",549100,97037,450995,06,095
"Sonoma County, California",748500,99266,488436,06,097
"Stanislaus County, California",393300,74872,552063,06,099
"Sutter County, California",375400,72654,99101,06,101
"Tehama County, California",290400,59029,65484,06,103
"Trinity County, California",326200,47317,15889,06,105
"Tulare County, California",280900,64474,473446,06,107
"Tuolumne County, California",377700,70432,54993,06,109
"Ventura County, California",719100,102141,842009,06,111
"Yolo County, California",555200,85097,217141,06,113
"Yuba County, California",350600,66693,81705,06,115
"Adams County, Colorado",425000,86297,520149,08,001
"Alamosa County, Colorado",198500,52271,16460,08,003
"Arapahoe County, Colorado",480500,92292,654453,08,005
"Archuleta County, Colorado",432400,66813,13509,08,007
"Baca County, Colorado",119700,42115,3496,08,009
"Bent County, Colorado",110700,45776,5561,08,011
"Boulder County, Colorado",671100,99770,328658,08,013
"Broomfield County, Colorado",581600,117541,73946,08,014
"Chaffee County, Colorado",514900,65703,19564,08,015
"Cheyenne County, Colorado",166300,65577,1726,08,017
"Clear Creek County, Colorado",506900,87169,9403,08,019
"Conejos County, Colorado",154500,44093,7553,08,021
"Costilla County, Colorado",145200,34578,3534,08,023
"Crowley County, Colorado",92700,40685,5782,08,025
"Custer County, Colorado",327100,66250,4885,08,027
"Delta County, Colorado",291400,56349,31173,08,029
"Denver County, Colorado",540400,85853,710800,08,031
"Dolores County, Colorado",208000,64708,2329,08,033
"Douglas County, Colorado",635100,139010,360206,08,035
"Eagle County, Colorado",728400,98887,55650,08,037
"Elbert County, Colorado",623300,124360,26457,08,039
"El Paso County, Colorado",390500,82748,730323,08,041
"Fremont County, Colorado",264300,56165,49107,08,043
"Garfield County, Colorado",449300,82772,61683,08,045
"Gilpin County, Colorado",465300,95902,5856,08,047
"Grand County, Colorado",461200,79367,15724,08,049
"Gunnison County, Colorado",530300,76538,17018,08,051
"Hinsdale County, Colorado",369200,58712,911,08,053
"Huerfano County, Colorado",231200,49631,6896,08,055
"Jackson County, Colorado",227300,38686,1440,08,057
"Jefferson County, Colorado",556800,103167,580519,08,059
"Kiowa County, Colorado",127400,45250,1347,08,061
"Kit Carson County, Colorado",182700,58992,7039,08,063
"Lake County, Colorado",331000,78942,7403,08,065
"La Plata County, Colorado",497800,81936,55983,08,067
"Larimer County, Colorado",488300,87199,359363,08,069
"Las Animas County, Colorado",190900,48965,14422,08,071
"Lincoln County, Colorado",238000,59167,5583,08,073
"Logan County, Colorado",203100,54864,21302,08,075
"Mesa County, Colorado",312600,68077,156131,08,077
"Mineral County, Colorado",379000,58929,794,08,079
"Moffat County, Colorado",247500,63983,13232,08,081
"Montezuma County, Colorado",282500,61377,26070,08,083
"Montrose County, Colorado",314100,62817,42823,08,085
"Morgan County, Colorado",277400,70471,29045,08,087
"Otero County, Colorado",132600,47500,18580,08,089
"Ouray County, Colorado",596400,78750,4936,08,091
"Park County, Colorado",458600,85019,17597,08,093
"Phillips County, Colorado",258200,58474,4493,08,095
"Pitkin County, Colorado",912300,96123,17325,08,097
"Prowers County, Colorado",120200,49422,11968,08,099
"Pueblo County, Colorado",238400,59436,168135,08,101
"Rio Blanco County, Colorado",231800,69882,6511,08,103
"Rio Grande County, Colorado",202300,57591,11442,08,105
"Routt County, Colorado",691800,95144,24944,08,107
"Saguache County, Colorado",166500,51946,6454,08,109
"San Juan County, Colorado",344600,67344,690,08,111
"San Miguel County, Colorado",561400,72829,8082,08,113
"Sedgwick County, Colorado",136000,45855,2391,08,115
"Summit County, Colorado",760000,100611,30955,08,117
"Teller County, Colorado",405500,69655,24758,08,119
"Washington County, Colorado",208300,59087,4817,08,121
"Weld County, Colorado",412200,89182,331466,08,123
"Yuma County, Colorado",201500,60118,9938,08,125
"Capitol Planning Region, Connecticut",283800,88190,977165,09,110
"Greater Bridgeport Planning Region, Connecticut",372000,83147,326381,09,120
"Lower Connecticut River Valley Planning Region, Connecticut",341300,99742,175244,09,130
"Naugatuck Valley Planning Region, Connecticut",273500,82939,451887,09,140
"Northeastern Connecticut Planning Region, Connecticut",268500,83119,95687,09,150
"Northwest Hills Planning Region, Connecticut",296800,87971,112696,09,160
"South Central Connecticut Planning Region, Connecticut",309600,83617,571298,09,170
"Southeastern Connecticut Planning Region, Connecticut",275900,80330,280293,09,180
"Western Connecticut Planning Region, Connecticut",595600,118930,620666,09,190
"Kent County, Delaware",272300,69278,182400,10,001
"New Castle County, Delaware",312000,85309,570567,10,003
"Sussex County, Delaware",324400,75406,240668,10,005
"District of Columbia, District of Columbia",705000,101722,670587,11,001
"Alachua County, Florida",245600,57566,279729,12,001
"Baker County, Florida",198900,67872,27969,12,003
"Bay County, Florida",246800,65999,181055,12,005
"Bradford County, Florida",153900,54759,27816,12,007
"Brevard County, Florida",278000,71308,610723,12,009
"Broward County, Florida",348600,70331,1940907,12,011
"Calhoun County, Florida",118100,41526,13753,12,013
"Charlotte County, Florida",265800,62164,189900,12,015
"Citrus County, Florida",190800,52569,155173,12,017
"Clay County, Florida",254500,82242,219650,12,019
"Collier County, Florida",443700,82011,380221,12,021
"Columbia County, Florida",165300,53501,69832,12,023
"DeSoto County, Florida",139500,45000,34258,12,027
"Dixie County, Florida",93200,45057,16737,12,029
"Duval County, Florida",251300,65579,995708,12,031
"Escambia County, Florida",206400,61642,321296,12,033
"Flagler County, Florida",293700,69251,117515,12,035
"Franklin County, Florida",236100,58107,12276,12,037
"Gadsden County, Florida",137300,45721,43746,12,039
"Gilchrist County, Florida",165500,56823,18070,12,041
"Glades County, Florida",91300,37221,12179,12,043
"Gulf County, Florida",197700,56250,15002,12,045
"Hamilton County, Florida",100800,47668,13492,12,047
"Hardee County, Florida",118700,44665,25528,12,049
"Hendry County, Florida",153200,49259,39902,12,051
"Hernando County, Florida",214700,59202,196621,12,053
"Highlands County, Florida",155900,53679,102339,12,055
"Hillsborough County, Florida",294900,70612,1468560,12,057
"Holmes County, Florida",94900,46063,19529,12,059
"Indian River County, Florida",284400,67543,160986,12,061
"Jackson County, Florida",113300,46144,47704,12,063
